,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
57,"[16, 53]",10494,ja,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",6.866,1998-02-28,Perfect Blue,8.301,3058
58,"[10749, 16]",372754,ja,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2.0043,2016-02-20,Dou kyu sei – Classmates,8.296,425
59,"[80, 18, 10749]",15804,zh,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",2.5625,1991-07-27,A Brighter Summer Day,8.3,371
60,"[80, 18, 28]",101,fr,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",16.2317,1994-09-14,Léon: The Professional,8.296,15786
61,"[16, 35, 10749]",820067,ja,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",4.8813,2022-05-20,The Quintessential Quintuplets Movie,8.294,430
62,"[18, 35]",42269,it,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",1.61,1974-12-21,We All Loved Each Other So Much,8.289,632
63,"[16, 18, 14, 10749]",533514,ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",3.0373,2020-09-18,Violet Evergarden: The Movie,8.3,484
64,"[18, 35]",644479,es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",1.2263,2019-11-01,Dedicated to my ex,8.3,513
65,"[35, 10752]",914,en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,4.464,1940-10-15,The Great Dictator,8.285,3620
66,[18],599,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,4.8347,1950-08-10,Sunset Boulevard,8.282,2859
67,"[35, 18, 10749]",3082,en,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",3.7074,1936-02-05,Modern Times,8.282,3996
68,"[18, 37]",335,it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",7.393,1968-12-21,Once Upon a Time in the West,8.28,4772
69,"[16, 18, 10749]",652837,ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",3.8327,2020-12-25,"Josee, the Tiger and the Fish",8.277,564
70,"[18, 10751, 14]",1585,en,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",7.1609,1946-12-20,It's a Wonderful Life,8.3,4779
71,"[16, 10751, 14, 35]",1139087,en,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",3.3381,2023-09-24,Once Upon a Studio,8.3,418
72,"[18, 35]",77338,fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,12.6836,2011-11-02,The Intouchables,8.269,18144
73,"[18, 10752]",28,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",11.1635,1979-05-19,Apocalypse Now,8.268,8869
74,"[16, 878, 18, 14]",18491,ja,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",6.3979,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.262,1789
75,"[10749, 16, 14]",92321,ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.0032,2011-09-17,Hotarubi no Mori e,8.263,1196
76,"[28, 12, 53]",1356039,es,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",6.5985,2025-02-27,Counterattack,8.26,783
77,"[10752, 18]",975,en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,4.6197,1957-10-25,Paths of Glory,8.257,3197
78,"[35, 18, 10749]",901,en,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,3.3268,1931-02-06,City Lights,8.257,2394
79,"[16, 10749, 18, 14]",572154,ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",2.7225,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.255,575
80,"[10751, 16, 18, 12]",8587,en,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",19.7144,1994-06-15,The Lion King,8.255,19374
81,[18],637920,tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",8.1423,2019-10-10,Miracle in Cell No. 7,8.253,4515
82,"[18, 53, 80]",29259,fr,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured.",2.808,1960-03-18,Le Trou,8.252,542
